id filter_num1 kernel_size1 filter_num2 kernel_size2 hidden_layer1 hidden_layer2 learning_rate batch_size train_accuracy validation_accuracy time/s
0 12 3 64 5 200 40 0.0002 512 76.06029510498047 74.74706268310547 3583.2896287441254
1 12 3 80 5 160 20 0.0002 64 88.98313903808594 84.83393096923828 3774.6825075149536
10 8 3 64 5 120 40 0.0002 16 94.42002868652344 87.04138946533203 1812.4476923942566
100 16 3 32 3 200 60 0.001 256 92.16146850585938 86.9289779663086 965.40527176857
1000 12 3 80 3 160 60 0.001 16 98.83495330810547 86.31578826904297 1909.5080046653748
1001 12 3 32 5 200 60 0.002 128 97.72611236572266 87.23556518554688 1467.4525301456451
1002 12 3 80 3 200 20 0.002 64 95.92233276367188 85.68216705322266 1518.703852891922
1003 12 5 64 3 160 60 0.001 128 97.8538589477539 87.20490264892578 1401.1652262210846
1004 16 5 80 3 160 20 0.005 32 51.88554000854492 50.832908630371094 2044.128415107727
1005 4 5 48 3 160 60 0.01 512 20.8380184173584 20.29637336730957 882.2391657829285
1006 8 5 64 5 160 20 0.005 16 20.8380184173584 20.29637336730957 2026.1494402885437
1007 12 3 64 5 160 40 0.005 16 20.8380184173584 20.29637336730957 2508.6475138664246
1008 8 3 32 5 200 20 0.002 512 91.8191146850586 86.1624984741211 1204.012035369873
1009 12 3 80 5 200 60 0.005 32 20.8380184173584 20.29637336730957 2696.105950117111
101 4 5 48 5 200 60 0.0002 256 82.65202331542969 81.05262756347656 1053.3170125484467
1010 4 3 48 3 200 40 0.005 512 93.36228942871094 85.70260620117188 843.9746661186218
1011 12 5 48 5 120 60 0.001 32 97.79254150390625 86.14205169677734 2101.477260828018
1012 12 5 64 5 160 40 0.002 256 98.13490295410156 87.19468688964844 1342.0157794952393
1013 16 3 64 5 160 20 0.0005 32 97.9509506225586 87.24578857421875 2466.26314496994
1014 4 5 80 5 120 20 0.002 256 96.37711334228516 85.73326110839844 1313.6135544776917
1015 12 5 48 3 200 20 0.01 256 20.8380184173584 20.29637336730957 1028.8527002334595
1016 16 5 64 5 120 60 0.005 128 20.8380184173584 20.29637336730957 2258.8610157966614
1017 12 5 32 3 160 20 0.0005 32 95.85590362548828 86.99028778076172 1260.2418661117554
1018 8 5 64 5 160 60 0.001 16 95.99897766113281 84.74195098876953 2023.1465330123901
1019 16 5 80 3 160 20 0.0005 64 97.24578094482422 87.70567321777344 1693.0728843212128
102 12 3 80 5 120 60 0.0002 64 90.11752319335938 86.25447082519531 2581.452868461609
1020 8 3 64 5 160 40 0.0005 16 99.0802230834961 87.31732177734375 1777.3061218261719
1021 12 3 32 3 160 60 0.0005 32 95.2631607055664 87.33776092529297 1940.101389169693
1022 4 5 32 3 160 40 0.002 512 91.09351348876953 85.71282958984375 1096.5415887832642
