id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
0,12,3,48,5,80,50,0.003,64,81.41543579,79.17220306
100,12,5,32,5,100,40,0.01,64,20.83801842,20.29637337
101,4,5,24,3,100,60,0.003,64,95.304039,84.35359955
102,12,3,48,5,80,50,0.003,64,83.00970459,80.71538544
103,12,3,48,3,80,60,0.01,64,20.83801842,20.29637337
104,4,3,24,3,120,50,0.03,32,20.83801842,20.29637337
105,12,5,48,5,80,50,0.03,128,20.83801842,20.29637337
106,8,3,48,5,100,50,0.001,64,97.26111603,86.48952484
107,4,5,48,3,100,50,0.03,256,20.83801842,20.29637337
108,4,5,32,3,100,40,0.001,256,89.77516937,84.99744415
109,8,3,24,5,100,40,0.003,32,85.07408905,80.73581696
110,12,3,48,3,80,50,0.003,64,94.39447784,84.73173523
111,12,3,24,5,100,40,0.003,64,91.91619873,84.91568756
112,4,3,24,3,80,40,0.01,64,70.7204895,69.17731476
113,8,5,24,3,80,50,0.001,64,95.40623474,86.30557251
115,8,5,24,3,120,50,0.01,256,84.89013672,81.0424118
116,4,3,32,5,80,60,0.003,256,95.68727875,85.82524109
117,4,3,48,5,80,40,0.01,128,67.91007233,66.87786865
118,8,3,32,3,100,40,0.003,64,97.5881424,85.68216705
11,12,3,24,5,100,60,0.03,64,20.83801842,20.29637337
120,4,3,48,3,100,40,0.03,256,20.83801842,20.29637337
121,12,5,32,5,100,40,0.03,128,20.83801842,20.29637337
122,12,5,24,3,80,40,0.01,128,20.83801842,20.29637337
123,12,5,24,3,120,60,0.001,64,96.7858963,87.04138947
125,8,3,48,3,100,60,0.03,128,20.83801842,20.29637337
126,8,3,48,5,100,50,0.03,256,20.83801842,20.29637337
127,8,5,32,3,120,40,0.001,32,98.13490295,86.5406189
128,12,3,32,3,80,50,0.003,32,92.23812103,84.35359955
129,12,3,24,5,80,60,0.001,256,88.80429077,85.14051819
12,4,3,48,5,100,40,0.001,64,97.03117371,86.44864655
130,8,3,24,3,120,60,0.001,128,92.42207336,86.58150482
134,4,3,32,5,120,40,0.001,128,91.8088913,85.42667389
13,8,5,48,5,120,40,0.01,128,20.83801842,20.29637337
